epoch,total_loss,pde_u_loss,pde_v_loss,pde_loss,ic_loss,bc_loss,learning_rate
1,6.53607422e+03,5.40139587e+02,5.97582471e+03,6.51596436e+03,1.99227965e+00,3.73612791e-02,9.99999994e-04
250,3.28657341e+00,9.89143848e-01,2.24139452e+00,3.23053837e+00,8.00980488e-04,9.60504916e-03,9.99618373e-04
500,5.73336411e+00,1.50198340e+00,4.21134758e+00,5.71333122e+00,3.56836594e-04,3.29295127e-03,9.98474080e-04
750,1.31802578e+01,3.21568012e+00,9.95217514e+00,1.31678553e+01,3.75018717e-04,1.73060200e-03,9.96568886e-04
1000,2.95569032e-01,8.30779895e-02,2.04589963e-01,2.87667960e-01,7.19671079e-05,1.43628020e-03,9.93905729e-04
1250,2.02102169e-01,5.56731783e-02,1.40895113e-01,1.96568295e-01,4.17925912e-05,1.02318719e-03,9.90488714e-04
1500,1.28908977e-01,3.62165309e-02,8.84316042e-02,1.24648139e-01,3.06744878e-05,7.90819176e-04,9.86323111e-04
1750,1.63897657e+00,3.95329028e-01,1.23866642e+00,1.63399541e+00,3.74806768e-05,9.21282102e-04,9.81415342e-04
2000,7.91301131e-02,2.24273428e-02,5.33658490e-02,7.57931918e-02,2.03682866e-05,6.26647612e-04,9.75772976e-04
2250,6.01591989e-02,1.71549823e-02,4.03729863e-02,5.75279668e-02,1.45868107e-05,4.97073168e-04,9.69404711e-04
2500,5.91989458e-02,1.56208565e-02,4.15387824e-02,5.71596399e-02,1.02366821e-05,3.87387408e-04,9.62320369e-04
2750,5.01793213e-02,1.47637269e-02,3.33367698e-02,4.81004976e-02,1.00883599e-05,3.95587529e-04,9.54530871e-04
3000,1.81261981e+00,4.46041793e-01,1.36467493e+00,1.81071675e+00,2.67375599e-05,3.27125425e-04,9.46048229e-04
3250,2.70280149e-02,7.89187569e-03,1.77286528e-02,2.56205276e-02,7.45954731e-06,2.66578281e-04,9.36885524e-04
3500,3.03400844e-01,7.22559616e-02,2.29992419e-01,3.02248389e-01,1.37200695e-05,2.03049785e-04,9.27056881e-04
3750,1.53739331e-02,4.64647356e-03,9.68428142e-03,1.43307550e-02,4.79225537e-06,1.99051268e-04,9.16577458e-04
